video_id,title,comment_text,comment_correct_text,comment_tag,author,published_at,comment_like_count,comment_id,series,extracted_text,ctype_sentiment_label,ctype_sentiment_score
1Hg2zSgRPP4,정말 그렇게까지 못생겼나? 190만원주고 사온 애플 아이폰 11 프로 맥스 언빡싱! 음.. 어... 이번 아이폰은요..., 결국 15에서 eu덕분에 드디어 씨타입이 들어갔답니다!,결국15에서eu덕분에드디어c타입이들어가았답니다!,"[[('결국', 'NNG'), ('15', 'SN'), ('에서', 'JKB'), ('eu', 'SL'), ('덕분', 'NNG'), ('에', 'JKB'), ('드디어', 'MAG'), ('c타입', 'NNP'), ('이', 'JKS'), ('들어가', 'VV'), ('았', 'EP'), ('답니다', 'EF'), ('!', 'SF')]]",@Blueming__,2023-12-15 05:20:21+00:00,0.0,Ugxc0KsrDONUn8obbA94AaABAg,11,결국 15 에서 eu 덕분 에 드디어 c타입 이 들어가 았 답니다 !,1,0.7774340510368347
VhBWr6XFtmw,지금 아이폰 사지마세요. 애플케어+ 한국출시? 새로운 아이폰 11/11 Pro/11 Pro Max/애플워치5/7세대 아이패드 총정리!,c타입 반대,c타입반대,"[[('c타입', 'NNP'), ('반대', 'NNG')]]",@musicjazz970,2019-09-11 15:19:36+00:00,0.0,Ugw3Azw6Aw5NEP9Pu9d4AaABAg,11,c타입 반대,0,0.711166501045227
1Hg2zSgRPP4,정말 그렇게까지 못생겼나? 190만원주고 사온 애플 아이폰 11 프로 맥스 언빡싱! 음.. 어... 이번 아이폰은요...,c타입 안들어가는것도 애바고 디자인은 후퇴함,c타입안들어가는것도애바고디자인은후퇴함,"[[('c타입', 'NNP'), ('안', 'MAG'), ('들어가', 'VV'), ('는', 'ETM'), ('것', 'NNB'), ('도', 'JX'), ('애바고', 'NNG'), ('디자인', 'NNG'), ('은', 'JX'), ('후퇴', 'NNG'), ('하', 'XSV'), ('ᆷ', 'EF')]]",@Tarkovshit,2019-09-23 02:18:19+00:00,0.0,UgwANbjoBVmTdFFWWox4AaABAg,11,c타입 안 들어가 는 것 도 애바고 디자인 은 후퇴 하 ᆷ,0,0.9895406365394592
1Hg2zSgRPP4,정말 그렇게까지 못생겼나? 190만원주고 사온 애플 아이폰 11 프로 맥스 언빡싱! 음.. 어... 이번 아이폰은요...,겔럭시는 8부터 씨타입사용한걸로아는데 애플은 이제 씨타입인가,갤럭시는8부터c타입사용한걸로알는데애플은이제c타입인가,"[[('갤럭시', 'NNP'), ('는', 'JX'), ('8', 'SN'), ('부터', 'JX'), ('c타입', 'NNP'), ('사용', 'NNG'), ('하', 'XSV'), ('ᆫ', 'ETM'), ('거', 'NNB'), ('ᆯ로', 'JKB'), ('알', 'VV'), ('는데', 'EC'), ('애플', 'NNP'), ('은', 'JX'), ('이제', 'IC'), ('c타입', 'NNP'), ('이', 'VCP'), ('ᆫ가', 'EF')]]",@user-gr4ty7rz8n,2019-09-22 05:41:42+00:00,0.0,Ugzuba_KmyK7Q226bnR4AaABAg,11,갤럭시 는 8 부터 c타입 사용 하 ᆫ 거 ᆯ로 알 는데 애플 은 이제 c타입 이 ᆫ가,1,0.6042104959487915
4M_dHndWSUM,아이폰이 뻔뻔하게 4GB 램으로 출시하는 이유? 아이폰 11 Pro VS 갤럭시노트10+ 앱 실행/리프레쉬 속도 테스트!,다 필요없고요 4기가넣어도 어짜피 사는 앱등이들이 판을쳐서 그럼 ram을 2기가에서 4기가로 올린이유: 당시 보편적인 어플들이 최소사양을 요구하는데 ram이 최소 2기가 이상 요구하는것들이 많아 업그레이드해준거였음 고로 애플은 배째라는 장사하는거임 지금 유럽 c타입도 배째고있고 유럽 소송패소비용도 안내고 배째고있쥬?,다필요없고요4기가넣어도어짜피살는앱등이들이판을치어서그럼ram을2기가에서4기가로올린이유:당시보편적인어플들이최소사양을요구하는데ram이최소2기가이상요구하는것들이많아업그레이드하여준거이었음 고로애플은배째라는장사하는거임 지금유럽c타입도배째고있고유럽소송패소비용도안내고배째고있쥬??,"[[('다', 'MAG'), ('필요', 'NNG'), ('없', 'VA'), ('고', 'EC'), ('요', 'MM'), ('4', 'SN'), ('기', 'NNB'), ('가', 'JKS'), ('넣', 'VV'), ('어도', 'EC'), ('어짜피', 'MAG'), ('살', 'VV'), ('는', 'ETM'), ('앱등이', 'NNG'), ('들', 'XSN'), ('이', 'JKS'), ('판', 'NNG'), ('을', 'JKO'), ('치', 'VV'), ('어서', 'EC'), ('그럼', 'MAJ'), ('ram', 'SL'), ('을', 'JKO'), ('2', 'SN'), ('기', 'NNG'), ('가', 'XSN'), ('에서', 'JKB'), ('4', 'SN'), ('기', 'NNG'), ('가', 'XSN'), ('로', 'JKB'), ('올리', 'VV'), ('ᆫ', 'ETM'), ('이유', 'NNG'), (':', 'SP'), ('당시', 'NNG'), ('보편', 'NNG'), ('적', 'XSN'), ('이', 'VCP'), ('ᆫ', 'ETM'), ('어플', 'NNG'), ('들', 'XSN'), ('이', 'JKS'), ('최소', 'NNG'), ('사양', 'NNG'), ('을', 'JKO'), ('요구', 'NNG'), ('하', 'XSV'), ('는데', 'EC'), ('ram', 'SL'), ('이', 'JKS'), ('최소', 'NNG'), ('2', 'SN'), ('기', 'NNB'), ('가', 'JKC'), ('이상', 'NNG'), ('요구', 'NNG'), ('하', 'XSV'), ('는', 'ETM'), ('것', 'NNB'), ('들', 'XSN'), ('이', 'JKS'), ('많', 'VA'), ('아', 'EC'), ('업그레이드', 'NNG'), ('하', 'XSV'), ('여', 'EC'), ('주', 'VX'), ('ᆫ', 'ETM'), ('거', 'NNB'), ('이', 'VCP'), ('었', 'EP'), ('음', 'EF')], [('고로', 'MAG'), ('애플', 'NNP'), ('은', 'JX'), ('배째라', 'NNG'), ('는', 'JX'), ('장사', 'NNG'), ('하', 'XSV'), ('는', 'ETM'), ('거', 'NNB'), ('이', 'VCP'), ('ᆷ', 'EF')], [('지금', 'MAG'), ('유럽', 'NNP'), ('c타입', 'NNP'), ('도', 'JX'), ('배', 'NNG'), ('째', 'VV'), ('고', 'EC'), ('있', 'VX'), ('고', 'EC'), ('유럽', 'NNP'), ('소송', 'NNG'), ('패소', 'NNG'), ('비용', 'NNG'), ('도', 'JX'), ('안', 'MAG'), ('내', 'VV'), ('고', 'EC'), ('배', 'NNG'), ('째', 'VV'), ('고', 'EC'), ('있', 'VX'), ('쥬', 'EF'), ('??', 'SF')]]",@FreestyleTuna,2022-05-06 23:49:08+00:00,1.0,Ugya-CF1eOKrpjK0obJ4AaABAg,11,지금 유럽 c타입 도 배 째 고 있 고 유럽 소송 패소 비용 도 안 내 고 배 째 고 있 쥬 ??,0,0.6840167045593262
VhBWr6XFtmw,지금 아이폰 사지마세요. 애플케어+ 한국출시? 새로운 아이폰 11/11 Pro/11 Pro Max/애플워치5/7세대 아이패드 총정리!,"동영상 기능을 그렇게 높여놓고서는 용량을 512까지밖에... 그것도 64라뇨... 4k를 찍고 그렇게 사진, 동영상 기능을 높여놨으면 256은 기본으로, 1t까지는 높여줘야 하는것 아닌가요? 게다가 usb-c타입을 빼다뇨... 완전 존버하라는 얘긴데... 혁신은 뭔가요... 기본적인 것도 채워주지도 못하고...","동영상기능을그렇게높이어놓고서는용량을512까지밖에... 그것도64이라뇨... 4k를찍고그렇게사진,동영상기능을높이어놓았으면256은기본으로,1t까지는높이어주어야하는것아닌가요? 게다가usb-c타입을빼다뇨... 완전존버하라는얘기인데... 혁신은뭐인가요... 기본적인것도채우어주지도못하고...","[[('동영상', 'NNG'), ('기능', 'NNG'), ('을', 'JKO'), ('그렇', 'VA-I'), ('게', 'EC'), ('높이', 'VV'), ('어', 'EC'), ('놓', 'VX'), ('고서', 'EC'), ('는', 'JX'), ('용량', 'NNG'), ('을', 'JKO'), ('512', 'SN'), ('까지', 'JX'), ('밖에', 'JX'), ('...', 'SF')], [('그것', 'NP'), ('도', 'JX'), ('64', 'SN'), ('이', 'VCP'), ('라뇨', 'EF'), ('...', 'SF')], [('4k', 'NNG'), ('를', 'JKO'), ('찍', 'VV'), ('고', 'EC'), ('그렇', 'VA-I'), ('게', 'EC'), ('사진', 'NNG'), (',', 'SP'), ('동영상', 'NNG'), ('기능', 'NNG'), ('을', 'JKO'), ('높이', 'VV'), ('어', 'EC'), ('놓', 'VX'), ('았', 'EP'), ('으면', 'EC'), ('256', 'SN'), ('은', 'JX'), ('기본', 'NNG'), ('으로', 'JKB'), (',', 'SP'), ('1', 'SN'), ('t', 'SL'), ('까지', 'JX'), ('는', 'JX'), ('높이', 'VV'), ('어', 'EC'), ('주', 'VX'), ('어야', 'EC'), ('하', 'VX'), ('는', 'ETM'), ('것', 'NNB'), ('아니', 'VCN'), ('ᆫ가', 'EF'), ('요', 'JX'), ('?', 'SF')], [('게다가', 'MAG'), ('usb', 'SL'), ('-', 'SO'), ('c타입', 'NNP'), ('을', 'JKO'), ('빼', 'VV'), ('다뇨', 'EF'), ('...', 'SF')], [('완전', 'MAG'), ('존버', 'NNG'), ('하', 'XSV'), ('라는', 'ETM'), ('얘기', 'NNG'), ('이', 'VCP'), ('ᆫ데', 'EF'), ('...', 'SF')], [('혁신', 'NNG'), ('은', 'JX'), ('뭐', 'NP'), ('이', 'VCP'), ('ᆫ가', 'EF'), ('요', 'JX'), ('...', 'SF')], [('기본', 'NNG'), ('적', 'XSN'), ('이', 'VCP'), ('ᆫ', 'ETM'), ('것', 'NNB'), ('도', 'JX'), ('채우', 'VV'), ('어', 'EC'), ('주', 'VX'), ('지', 'EC'), ('도', 'JX'), ('못하', 'VX'), ('고', 'EC'), ('...', 'SF')]]",@soribaram975,2019-09-11 03:50:05+00:00,6.0,UgyZo1cRxGe4hSa5D6J4AaABAg,11,게다가 usb - c타입 을 빼 다뇨 ...,1,0.6181231141090393
VhBWr6XFtmw,지금 아이폰 사지마세요. 애플케어+ 한국출시? 새로운 아이폰 11/11 Pro/11 Pro Max/애플워치5/7세대 아이패드 총정리!,"솔직히 난 아이폰 유저로써 아이폰이 가장 좋다고 자부하고 새 모델 나올때마다 써보았는데 이제는 가격대비해서 갤럭시랑 비교가 많이 됨.,,갤럭시에서 지원하는 기능들 배터리 공유기능이나 c타입 케이블 등 좀 다양하게 크게 폭넓게 변화해주고 저 가격이면 인정하겠는데 이제는 나도 조금은 망설여지는 부분..제발 보폭을 크게 밟아줬으면..","솔직히난아이폰유저로써아이폰이가장좋다고자부하고새모델나올때마다쓰어보았는데이제는가격대비하여서갤럭시랑비교가많이됨.,, 갤럭시에서지원하는기능들배터리공유기능이나c타입케이블등좀다양하게크게폭넓게변화하여주고저가격이면인정하겠는데이제는나도조금은망설이어지는부분.. 제발보폭을크게밟아주었으면..","[[('솔직히', 'MAG'), ('나', 'NP'), ('ᆫ', 'JX'), ('아이폰', 'NNP'), ('유저', 'NNG'), ('로써', 'JKB'), ('아이폰', 'NNP'), ('이', 'JKS'), ('가장', 'MAG'), ('좋', 'VA'), ('다고', 'EC'), ('자부', 'NNG'), ('하', 'XSV'), ('고', 'EC'), ('새', 'MM'), ('모델', 'NNG'), ('나오', 'VV'), ('ᆯ', 'ETM'), ('때', 'NNG'), ('마다', 'JX'), ('쓰', 'VV'), ('어', 'EC'), ('보', 'VX'), ('았', 'EP'), ('는데', 'EC'), ('이제', 'NNG'), ('는', 'JX'), ('가격', 'NNG'), ('대비', 'NNG'), ('하', 'XSV'), ('여서', 'EC'), ('갤럭시', 'NNP'), ('랑', 'JKB'), ('비교', 'NNG'), ('가', 'JKC'), ('많이', 'MAG'), ('되', 'VV'), ('ᆷ', 'ETN'), ('.', 'SF'), (',,', 'SP')], [('갤럭시', 'NNP'), ('에서', 'JKB'), ('지원', 'NNG'), ('하', 'XSV'), ('는', 'ETM'), ('기능', 'NNG'), ('들', 'XSN'), ('배터리', 'NNG'), ('공유', 'NNG'), ('기능', 'NNG'), ('이나', 'JC'), ('c타입', 'NNP'), ('케이블', 'NNG'), ('등', 'NNB'), ('좀', 'MAG'), ('다양', 'NNG'), ('하', 'XSA'), ('게', 'EC'), ('크', 'VA'), ('게', 'EC'), ('폭넓', 'VA'), ('게', 'EC'), ('변화', 'NNG'), ('하', 'XSV'), ('여', 'EC'), ('주', 'VX'), ('고', 'EC'), ('저', 'MM'), ('가격', 'NNG'), ('이', 'VCP'), ('면', 'EC'), ('인정', 'NNG'), ('하', 'XSV'), ('겠', 'EP'), ('는데', 'EC'), ('이제', 'NNG'), ('는', 'JX'), ('나', 'NP'), ('도', 'JX'), ('조금', 'NNG'), ('은', 'JX'), ('망설이', 'VV'), ('어', 'EC'), ('지', 'VX'), ('는', 'ETM'), ('부분', 'NNG'), ('..', 'SF')], [('제발', 'MAG'), ('보폭', 'NNG'), ('을', 'JKO'), ('크', 'VA'), ('게', 'EC'), ('밟', 'VV'), ('아', 'EC'), ('주', 'VX'), ('었', 'EP'), ('으면', 'EC'), ('..', 'SF')]]",@user-wm5xh9gy8g,2019-09-11 05:13:34+00:00,0.0,Ugwmd7P-IEhY8rooiqV4AaABAg,11,갤럭시 에서 지원 하 는 기능 들 배터리 공유 기능 이나 c타입 케이블 등 좀 다양 하 게 크 게 폭넓 게 변화 하 여 주 고 저 가격 이 면 인정 하 겠 는데 이제 는 나 도 조금 은 망설이 어 지 는 부분 ..,1,0.6117318868637085
VhBWr6XFtmw,지금 아이폰 사지마세요. 애플케어+ 한국출시? 새로운 아이폰 11/11 Pro/11 Pro Max/애플워치5/7세대 아이패드 총정리!,아나 언제 c타입 넣어주는거야 ㅡㅡ,아나언제c타입넣어주는거이야ㅡㅡ,"[[('아나', 'IC'), ('언제', 'MAG'), ('c타입', 'NNP'), ('넣', 'VV'), ('어', 'EC'), ('주', 'VX'), ('는', 'ETM'), ('거', 'NNB'), ('이', 'VCP'), ('야', 'EF'), ('ㅡㅡ', 'SW')]]",@njkim0909,2019-09-11 07:11:11+00:00,2.0,Ugyw07rhFe89op3MzKx4AaABAg,11,아나 언제 c타입 넣 어 주 는 거 이 야 ㅡㅡ,0,0.5215914249420166
1Hg2zSgRPP4,정말 그렇게까지 못생겼나? 190만원주고 사온 애플 아이폰 11 프로 맥스 언빡싱! 음.. 어... 이번 아이폰은요...,"아이폰에 베젤리스,c타입,높은 ram넣어주고 제발 가격좀 내리면 나도 앱등이한다","아이폰에베젤리스,c타입,높은ram넣어주고제발가격좀내리면나도앱등이한다","[[('아이폰', 'NNP'), ('에', 'JKB'), ('베젤', 'NNG'), ('리스', 'NNG'), (',', 'SP'), ('c타입', 'NNP'), (',', 'SP'), ('높', 'VA'), ('은', 'ETM'), ('ram', 'SL'), ('넣', 'VV'), ('어', 'EC'), ('주', 'VX'), ('고', 'EC'), ('제발', 'MAG'), ('가격', 'NNG'), ('좀', 'MAG'), ('내리', 'VV'), ('면', 'EC'), ('나', 'NP'), ('도', 'JX'), ('앱등이', 'NNG'), ('하', 'XSV'), ('ᆫ다', 'EF')]]",@s2eienn,2019-09-21 16:17:10+00:00,0.0,Ugx6tuxPp6U7yo4CjQZ4AaABAg,11,"아이폰 에 베젤 리스 , c타입 , 높 은 ram 넣 어 주 고 제발 가격 좀 내리 면 나 도 앱등이 하 ᆫ다",1,0.672348141670227
1Hg2zSgRPP4,정말 그렇게까지 못생겼나? 190만원주고 사온 애플 아이폰 11 프로 맥스 언빡싱! 음.. 어... 이번 아이폰은요...,아이폰이 타입c 채택하면 바로 갈아탄다 망할 라이트닝 -_-,아이폰이c타입채택하면바로갈아탄다 망할라이트닝-_-,"[[('아이폰', 'NNP'), ('이', 'JKS'), ('c타입', 'NNP'), ('채택', 'NNG'), ('하', 'XSV'), ('면', 'EC'), ('바로', 'MAG'), ('갈아타', 'VV'), ('ᆫ다', 'EF')], [('망하', 'VV'), ('ᆯ', 'ETM'), ('라이트닝', 'NNG'), ('-', 'SO'), ('_', 'SW'), ('-', 'SO')]]",@keuj517,2019-09-22 05:12:59+00:00,0.0,UgxCmlgtUNfjTrGHKT94AaABAg,11,아이폰 이 c타입 채택 하 면 바로 갈아타 ᆫ다,1,0.7600575089454651
