video_id,title,comment_text,comment_correct_text,comment_tag,author,published_at,comment_like_count,comment_id,series,extracted_text,sentiment_label,sentiment_score
1Hg2zSgRPP4,정말 그렇게까지 못생겼나? 190만원주고 사온 애플 아이폰 11 프로 맥스 언빡싱! 음.. 어... 이번 아이폰은요...,"계속 아이폰만 써온 앱등이지만 통화중녹음기능 안만들어주고 공인인증서도 불편하고 삼성페이안되는것 충전케이블 잘 고장나는것 , 가격 그리고 이번 디자인까지 봤을때 갈아탈때가 된것같네요","계속아이폰만쓰어온앱등이이지만통화녹음기능안만들어주고공인인증서도불편하고삼성페이안되는것충전케이블잘고장나는것,가격그리고이번디자인까지보았을때갈아탈때가된것같네요","[[('계속', 'MAG'), ('아이폰', 'NNP'), ('만', 'JX'), ('쓰', 'VV'), ('어', 'EC'), ('오', 'VX'), ('ᆫ', 'ETM'), ('앱등이', 'NNG'), ('이', 'VCP'), ('지만', 'EC'), ('통화녹음', 'NNG'), ('기능', 'NNG'), ('안', 'MAG'), ('만들', 'VV'), ('어', 'EC'), ('주', 'VX'), ('고', 'EC'), ('공인인증서', 'NNP'), ('도', 'JX'), ('불편', 'NNG'), ('하', 'XSA'), ('고', 'EC'), ('삼성페이', 'NNP'), ('안', 'MAG'), ('되', 'VV'), ('는', 'ETM'), ('것', 'NNB'), ('충전', 'NNG'), ('케이블', 'NNG'), ('잘', 'MAG'), ('고장', 'NNG'), ('나', 'VV'), ('는', 'ETM'), ('것', 'NNB'), (',', 'SP'), ('가격', 'NNG'), ('그리고', 'MAJ'), ('이번', 'NNG'), ('디자인', 'NNG'), ('까지', 'JX'), ('보', 'VV'), ('았', 'EP'), ('을', 'ETM'), ('때', 'NNG'), ('갈아타', 'VV'), ('ᆯ', 'ETM'), ('때', 'NNG'), ('가', 'JKC'), ('되', 'VV'), ('ᆫ', 'ETM'), ('것', 'NNB'), ('같', 'VA'), ('네요', 'EF')]]",@seonghokim6960,2019-09-27 04:12:53+00:00,15.0,UgyQDdTXE7Hv2YnAICh4AaABAg,11,"계속 아이폰 만 쓰 어 오 ᆫ 앱등이 이 지만 통화녹음 기능 안 만들 어 주 고 공인인증서 도 불편 하 고 삼성페이 안 되 는 것 충전 케이블 잘 고장 나 는 것 , 가격 그리고 이번 디자인 까지 보 았 을 때 갈아타 ᆯ 때 가 되 ᆫ 것 같 네요",0,0.94118732213974
fsQvTBqHGas,곧 업데이트되는 아이폰 최신 꿀팁 대방출! 새로운 iOS 13에서 개선된 35가지 살펴보기!,다음은 제발 듀얼스크린이랑 통화녹음도,다음은제발듀얼스크린이랑통화녹음도,"[[('다음', 'NNG'), ('은', 'JX'), ('제발', 'MAG'), ('듀얼', 'NNG'), ('스크린', 'NNG'), ('이랑', 'JC'), ('통화녹음', 'NNG'), ('도', 'JX')]]",@mine07255,2019-08-03 16:28:55+00:00,0.0,UgygEKidKDjOoDmUDll4AaABAg,iOS13,다음 은 제발 듀얼 스크린 이랑 통화녹음 도,1,0.6603235602378845
fsQvTBqHGas,곧 업데이트되는 아이폰 최신 꿀팁 대방출! 새로운 iOS 13에서 개선된 35가지 살펴보기!,아이폰 처음쓰는 유저입니다.혹시 민원은 어디에다가 넣어야하는지 아시는분이요. 말씀줌 부탁드리겠습니다. 갤럭시 쓰다 넘어왔는데 불편한점이 한두개가 아니네요.  안되는게 이렇게 까지 많은지 몰랐어요~ 디자인만 이쁜거였어요...제일 부편한점은 1.통화녹음기능하고 2.클립보드 3.문자찾기.... 등이있네요. 이렇게 안되는게 많은지 알았으면 안샀을껄... 후회하고있습니다.,아이폰처음쓰는유저입니다. 혹시민원은어디에다그아넣어야하는지알시는분이요. 말씀줌부탁드리겠습니다. 갤럭시쓰다넘어오았는데불편한점이한두개가아니네요. 안되는것이이렇게까지많은지모르았어요~ 디자인만이쁜거이었어요... 제일부편한점은1.통화녹음기능하고2.클립보드3.문자찾기.... 등이있네요. 이렇게안되는것이많은지알았으면안사았을껄... 후회하고있습니다.,"[[('아이폰', 'NNP'), ('처음', 'MAG'), ('쓰', 'VV'), ('는', 'ETM'), ('유저', 'NNG'), ('이', 'VCP'), ('ᆸ니다', 'EF'), ('.', 'SF')], [('혹시', 'MAG'), ('민원', 'NNG'), ('은', 'JX'), ('어디', 'NP'), ('에', 'JKB'), ('다그', 'VV'), ('아', 'EC'), ('넣', 'VV'), ('어야', 'EC'), ('하', 'VX'), ('는지', 'EC'), ('알', 'VV'), ('시', 'EP'), ('는', 'ETM'), ('분', 'NNB'), ('이', 'VCP'), ('요', 'EF'), ('.', 'SF')], [('말씀', 'NNG'), ('줌', 'MAG'), ('부탁', 'NNG'), ('드리', 'VV'), ('겠', 'EP'), ('습니다', 'EF'), ('.', 'SF')], [('갤럭시', 'NNP'), ('쓰', 'VV'), ('다', 'EC'), ('넘어오', 'VV'), ('았', 'EP'), ('는데', 'EC'), ('불편', 'NNG'), ('하', 'XSA'), ('ᆫ', 'ETM'), ('점', 'NNG'), ('이', 'JKS'), ('한두', 'MM'), ('개', 'NNB'), ('가', 'JKC'), ('아니', 'VCN'), ('네요', 'EF'), ('.', 'SF')], [('안', 'MAG'), ('되', 'VV'), ('는', 'ETM'), ('것', 'NNB'), ('이', 'JKS'), ('이렇', 'VA-I'), ('게', 'EC'), ('까지', 'JX'), ('많', 'VA'), ('은지', 'EC'), ('모르', 'VV'), ('았', 'EP'), ('어요', 'EF'), ('~', 'SO')], [('디자인', 'NNG'), ('만', 'JX'), ('이쁘', 'VA'), ('ᆫ', 'ETM'), ('거', 'NNB'), ('이', 'VCP'), ('었', 'EP'), ('어요', 'EF'), ('...', 'SF')], [('제', 'XPN'), ('일', 'NR'), ('부', 'NNB'), ('편', 'XR'), ('하', 'XSA'), ('ᆫ', 'ETM'), ('점', 'NNG'), ('은', 'JX'), ('1.', 'SN'), ('통화녹음', 'NNG'), ('기능', 'NNG'), ('하', 'XSV'), ('고', 'EC'), ('2.', 'SN'), ('클립', 'NNG'), ('보드', 'NNG'), ('3.', 'SN'), ('문자', 'NNG'), ('찾', 'VV'), ('기', 'ETN'), ('....', 'SF')], [('등', 'NNB'), ('이', 'JKS'), ('있', 'VA'), ('네요', 'EF'), ('.', 'SF')], [('이렇게', 'MAG'), ('안', 'MAG'), ('되', 'VV'), ('는', 'ETM'), ('것', 'NNB'), ('이', 'JKS'), ('많', 'VA'), ('은지', 'EC'), ('알', 'VV'), ('았', 'EP'), ('으면', 'EC'), ('안', 'MAG'), ('사', 'VV'), ('았', 'EP'), ('을', 'ETM'), ('꺼', 'NNB'), ('ᆯ', 'JKO'), ('...', 'SF')], [('후회', 'NNG'), ('하', 'XSV'), ('고', 'EC'), ('있', 'VX'), ('습니다', 'EF'), ('.', 'SF')]]",@user-zk2ph5pn6i,2019-07-24 11:44:43+00:00,0.0,UgyjZWR7G3tA720FQbJ4AaABAg,iOS13,제 일 부 편 하 ᆫ 점 은 1. 통화녹음 기능 하 고 2. 클립 보드 3. 문자 찾 기 ....,0,0.6672449111938477
fsQvTBqHGas,곧 업데이트되는 아이폰 최신 꿀팁 대방출! 새로운 iOS 13에서 개선된 35가지 살펴보기!,"통화녹음, 메시지앱에서 예약문자 보내는거, 발신자차단 및 번호삭제 창도 간편하게 옆에있는것좀 업데이트해주라... 요즘 시대에.. 이제 해줄때도 됐잖아","통화녹음,메시지앱에서예약문자보내는거,발신자차단및번호삭제창도간편하게옆에있는것좀업데이트하여주라... 요즘시대에.. 이제하여줄때도되었잖아","[[('통화녹음', 'NNG'), (',', 'SP'), ('메시지', 'NNG'), ('앱', 'NNG'), ('에서', 'JKB'), ('예약', 'NNG'), ('문자', 'NNG'), ('보내', 'VV'), ('는', 'ETM'), ('거', 'NNB'), (',', 'SP'), ('발신자', 'NNG'), ('차단', 'NNG'), ('및', 'MAG'), ('번호', 'NNG'), ('삭제', 'NNG'), ('창', 'NNG'), ('도', 'JX'), ('간편', 'XR'), ('하', 'XSA'), ('게', 'EC'), ('옆', 'NNG'), ('에', 'JKB'), ('있', 'VV'), ('는', 'ETM'), ('것', 'NNB'), ('좀', 'MAG'), ('업데이트', 'NNG'), ('하', 'XSV'), ('여', 'EC'), ('주', 'VX'), ('라', 'EF'), ('...', 'SF')], [('요즘', 'NNG'), ('시대', 'NNG'), ('에', 'JKB'), ('..', 'SF')], [('이제', 'MAG'), ('하', 'VV'), ('여', 'EC'), ('주', 'VX'), ('ᆯ', 'ETM'), ('때', 'NNG'), ('도', 'JX'), ('되', 'VV'), ('었', 'EP'), ('잖아', 'EF')]]",@peaceminusone.,2019-06-07 15:57:47+00:00,0.0,Ugzr2oGrJC5342y7BUZ4AaABAg,iOS13,"통화녹음 , 메시지 앱 에서 예약 문자 보내 는 거 , 발신자 차단 및 번호 삭제 창 도 간편 하 게 옆 에 있 는 것 좀 업데이트 하 여 주 라 ...",0,0.9175911545753479
fsQvTBqHGas,곧 업데이트되는 아이폰 최신 꿀팁 대방출! 새로운 iOS 13에서 개선된 35가지 살펴보기!,한국만이라도 통화녹음 활성화 시켜줬으면,한국만이라도통화녹음활성화시키어주었으면,"[[('한국', 'NNP'), ('만', 'JX'), ('이', 'VCP'), ('라도', 'EC'), ('통화녹음', 'NNG'), ('활성', 'NNG'), ('화', 'XSN'), ('시키', 'XSV'), ('어', 'EC'), ('주', 'VX'), ('었', 'EP'), ('으면', 'EC')]]",@smile.chan2,2019-06-10 01:22:11+00:00,0.0,UgyPiKbKHurqZXQAHM14AaABAg,iOS13,한국 만 이 라도 통화녹음 활성 화 시키 어 주 었 으면,0,0.6368560194969177
fsQvTBqHGas,곧 업데이트되는 아이폰 최신 꿀팁 대방출! 새로운 iOS 13에서 개선된 35가지 살펴보기!,헐...애플은 핸드폰으로 카드도 안되고 통화녹음도 안되고 동영상찍을때 일시정지도안됨? 충격적이네,헐... 애플은휴대폰으로카드도안되고통화녹음도안되고동영상찍을때일시정지도안됨? 충격적이네,"[[('헐', 'IC'), ('...', 'SF')], [('애플', 'NNP'), ('은', 'JX'), ('휴대폰', 'NNG'), ('으로', 'JKB'), ('카드', 'NNG'), ('도', 'JX'), ('안', 'MAG'), ('되', 'VV'), ('고', 'EC'), ('통화녹음', 'NNG'), ('도', 'JX'), ('안', 'MAG'), ('되', 'VV'), ('고', 'EC'), ('동영상', 'NNG'), ('찍', 'VV'), ('을', 'ETM'), ('때', 'NNG'), ('일시', 'NNG'), ('정지', 'NNG'), ('도', 'JX'), ('안', 'MAG'), ('되', 'VV'), ('ᆷ', 'EF'), ('?', 'SF')], [('충격', 'NNG'), ('적', 'XSN'), ('이', 'VCP'), ('네', 'EF')]]",@답댓글영원히못봐요,2019-09-17 04:37:04+00:00,0.0,UgzzAwMl90gma-gSs0R4AaABAg,iOS13,애플 은 휴대폰 으로 카드 도 안 되 고 통화녹음 도 안 되 고 동영상 찍 을 때 일시 정지 도 안 되 ᆷ ?,0,0.9776766896247864
PF8jrZVfmVM ,평생 안드로이드만 쓴 진성 갤럭시 유저가 아이폰으로 갈아탈 수 있을까?                                   ,통화녹음도 그렇고 안드로이드쓸때 모아키를 사용했는데 이게 삼성이만든거라 아이폰에는 없네요 흑흑흐듀 모아키에 길들여저있어서 아이폰 넘 불편해여 😢                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,통화녹음도그렇고안드로이드쓸때모으아키를사용하였는데이것이삼성이만든거이라아이폰에는없네요 흑흑흐듀ㅜ모아키에길들이어지어있어서아이폰넘불편하여여 😢,"[[('통화녹음', 'NNG'), ('도', 'JX'), ('그렇', 'VA-I'), ('고', 'EC'), ('안드로이드', 'NNG'), ('쓰', 'VV'), ('ᆯ', 'ETM'), ('때', 'NNG'), ('모으', 'VV'), ('아', 'EC'), ('키', 'NNG'), ('를', 'JKO'), ('사용', 'NNG'), ('하', 'XSV'), ('였', 'EP'), ('는데', 'EC'), ('이것', 'NP'), ('이', 'JKS'), ('삼성', 'NNP'), ('이', 'JKS'), ('만드', 'VV'), ('ᆫ', 'ETM'), ('거', 'NNB'), ('이', 'VCP'), ('라', 'EC'), ('아이폰', 'NNP'), ('에', 'JKB'), ('는', 'JX'), ('없', 'VA'), ('네요', 'EF')], [('흑흑흐듀', 'NNG'), ('ㅜ', 'SW'), ('모아키', 'NNG'), ('에', 'JKB'), ('길들이', 'VV'), ('어', 'EC'), ('지', 'VX'), ('어', 'EC'), ('있', 'VX'), ('어서', 'EC'), ('아이폰', 'NNP'), ('넘', 'MAG'), ('불편', 'NNG'), ('하', 'XSA'), ('여여', 'EF')], [('😢', 'W_EMOJI')]]",@user-cr3ct3mm6s                ,,0.0,UgwmjPl2W-kIBZgVAON4AaABAg ,14,통화녹음 도 그렇 고 안드로이드 쓰 ᆯ 때 모으 아 키 를 사용 하 였 는데 이것 이 삼성 이 만드 ᆫ 거 이 라 아이폰 에 는 없 네요,1,0.5203972458839417
PF8jrZVfmVM ,평생 안드로이드만 쓴 진성 갤럭시 유저가 아이폰으로 갈아탈 수 있을까?                                   ,통화녹음 잘 안쓰면 애플로 넘어가세요 뭐 할때 뭐든지 빠르게 넘어가서 시간 절약됩니다. 무엇보다 엄청 이쁩니다 실물이 훨씬 이뻐요 괜히 감성이러는거 아닙니다                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,통화녹음잘안쓰면애플로넘어가세요 뭐할때뭐이든지빠르게넘어가아서시간절약됩니다. 무엇보다엄청이쁩니다 실물이훨씬이쁘어요 괜히감성이렇는거아닙니다,"[[('통화녹음', 'NNG'), ('잘', 'MAG'), ('안', 'MAG'), ('쓰', 'VV'), ('면', 'EC'), ('애플', 'NNP'), ('로', 'JKB'), ('넘어가', 'VV'), ('세요', 'EF')], [('뭐', 'NP'), ('하', 'VV'), ('ᆯ', 'ETM'), ('때', 'NNG'), ('뭐', 'NP'), ('이', 'VCP'), ('든지', 'EC'), ('빠르', 'VA'), ('게', 'EC'), ('넘어가', 'VV'), ('아서', 'EC'), ('시간', 'NNG'), ('절약', 'NNG'), ('되', 'XSV'), ('ᆸ니다', 'EF'), ('.', 'SF')], [('무엇', 'NP'), ('보다', 'JKB'), ('엄청', 'MAG'), ('이쁘', 'VA'), ('ᆸ니다', 'EF')], [('실물', 'NNG'), ('이', 'JKS'), ('훨씬', 'MAG'), ('이쁘', 'VA'), ('어요', 'EF')], [('괜히', 'MAG'), ('감', 'NNG'), ('성', 'XSN'), ('이렇', 'VA-I'), ('는', 'ETM'), ('거', 'NNB'), ('아니', 'VCN'), ('ᆸ니다', 'EF')]]",@kimblue52                      ,,0.0,UgzJp5Ds4gOpSnv2rIp4AaABAg ,14,통화녹음 잘 안 쓰 면 애플 로 넘어가 세요,0,0.9045095443725586
PF8jrZVfmVM ,평생 안드로이드만 쓴 진성 갤럭시 유저가 아이폰으로 갈아탈 수 있을까?                                   ,"그래도 저분은 기존에 쓰시던 애플기기라도 있으신,,, 저는 그것조차 없는데도 아이폰 너무 써보고싶네요... 스마트폰만해도 10년넘게 갤럭시만써왔고 피처폰시절에도 하나빼고 전부 삼성이엇고... 근데 요즘들어 삼성 특히 갤럭시쪽은 gos사건도있었고 해서그런지 애정도가 쫙떨어져서 아이폰 가보고싶은데  같은 아이폰유저라도 누구는 넘어가면불편할거다 하면서 비추하는데 누구는 통화녹음이랑 삼성페이 안쓰면 넘어가도 별다른불편한건 없을거다 하면서 추천해주니,,, 그래서 찾아보고 들어온 영상이 이건데, 뭘 선택해야할지 정도는 약간 해결이 된것같네요. 뭔가 길게써내려버리긴 했습니다만,,, 영상 잘 봤습니다.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","그래도저분은기존에쓰시던애플기기이라도있으신,,,저는그것조차없는데도아이폰너무쓰어보고싶네요... 스마트폰만하여도10년넘게갤럭시만쓰어오았고피처폰시절에도하나빼고전부삼성이엇고... 근데요즘들어삼성특히갤럭시쪽은gos사건도있었고하여서그렇ᆫ지애정도가쫙떨어지어서아이폰가아보고싶은데같은아이폰유저이라도누구는넘어가면불편할거이다하면서비추하는데누구는통화녹음이랑삼성페이안쓰면넘어가아도별다른불편한건없을거이다하면서추천하여주니,,,그래서찾아보고들어온영상이이거인데,뭘선택하여야할지정도는약간해결이된것같네요. 뭐인가길게쓰어내리어버리긴하였습니다만,,,영상잘보았습니다.","[[('그래도', 'MAJ'), ('저', 'MM'), ('분', 'NNB'), ('은', 'JX'), ('기존', 'NNG'), ('에', 'JKB'), ('쓰', 'VV'), ('시', 'EP'), ('던', 'ETM'), ('애플', 'NNP'), ('기기', 'NNG'), ('이', 'VCP'), ('라도', 'EC'), ('있', 'VV'), ('으시', 'EP'), ('ᆫ', 'ETM'), (',,,', 'SP'), ('저', 'NP'), ('는', 'JX'), ('그것', 'NP'), ('조차', 'JX'), ('없', 'VA'), ('는데', 'EC'), ('도', 'JX'), ('아이폰', 'NNP'), ('너무', 'MAG'), ('쓰', 'VV'), ('어', 'EC'), ('보', 'VX'), ('고', 'EC'), ('싶', 'VX'), ('네요', 'EF'), ('...', 'SF')], [('스마트폰', 'NNG'), ('만', 'JX'), ('하', 'VV'), ('여도', 'EC'), ('10', 'SN'), ('년', 'NNB'), ('넘', 'VV'), ('게', 'EC'), ('갤럭시', 'NNP'), ('만', 'JX'), ('쓰', 'VV'), ('어', 'EC'), ('오', 'VX'), ('았', 'EP'), ('고', 'EC'), ('피처폰', 'NNP'), ('시절', 'NNG'), ('에', 'JKB'), ('도', 'JX'), ('하나', 'NR'), ('빼', 'VV'), ('고', 'EC'), ('전부', 'MAG'), ('삼성', 'NNP'), ('이', 'VCP'), ('엇', 'EP'), ('고', 'EC'), ('...', 'SF')], [('근데', 'MAJ'), ('요즘', 'NNG'), ('들', 'VV'), ('어', 'EC'), ('삼성', 'NNP'), ('특히', 'MAG'), ('갤럭시', 'NNP'), ('쪽', 'NNB'), ('은', 'JX'), ('gos', 'SL'), ('사건', 'NNG'), ('도', 'JX'), ('있', 'VA'), ('었', 'EP'), ('고', 'EC'), ('하', 'VV'), ('여서', 'EC'), ('그렇', 'VA-I'), ('ᆫ지', 'EC'), ('애', 'NNG'), ('정도', 'NNG'), ('가', 'JKS'), ('쫙', 'MAG'), ('떨어지', 'VV'), ('어서', 'EC'), ('아이폰', 'NNP'), ('가', 'VV'), ('아', 'EC'), ('보', 'VX'), ('고', 'EC'), ('싶', 'VX'), ('은데', 'EC'), ('같', 'VA'), ('은', 'ETM'), ('아이폰', 'NNP'), ('유저', 'NNG'), ('이', 'VCP'), ('라도', 'EC'), ('누구', 'NP'), ('는', 'JX'), ('넘어가', 'VV'), ('면', 'EC'), ('불편', 'NNG'), ('하', 'XSA'), ('ᆯ', 'ETM'), ('거', 'NNB'), ('이', 'VCP'), ('다', 'EC'), ('하', 'VV'), ('면서', 'EC'), ('비추', 'VV'), ('하', 'VV'), ('는데', 'EC'), ('누구', 'NP'), ('는', 'JX'), ('통화녹음', 'NNG'), ('이랑', 'JC'), ('삼성페이', 'NNP'), ('안', 'MAG'), ('쓰', 'VV'), ('면', 'EC'), ('넘어가', 'VV'), ('아도', 'EC'), ('별다르', 'VA'), ('ᆫ', 'ETM'), ('불편', 'NNG'), ('하', 'XSA'), ('ᆫ', 'ETM'), ('거', 'NNB'), ('ᆫ', 'JX'), ('없', 'VA'), ('을', 'ETM'), ('거', 'NNB'), ('이', 'VCP'), ('다', 'EC'), ('하', 'VV'), ('면서', 'EC'), ('추천', 'NNG'), ('하', 'XSV'), ('여', 'EC'), ('주', 'VX'), ('니', 'EC'), (',,,', 'SP'), ('그래서', 'MAJ'), ('찾아보', 'VV'), ('고', 'EC'), ('들어오', 'VV'), ('ᆫ', 'ETM'), ('영상', 'NNG'), ('이', 'JKS'), ('이거', 'NP'), ('이', 'VCP'), ('ᆫ데', 'EC'), (',', 'SP'), ('뭐', 'NP'), ('ᆯ', 'JKO'), ('선택', 'NNG'), ('하', 'XSV'), ('여야', 'EC'), ('하', 'VX'), ('ᆯ', 'ETM'), ('지', 'NNB'), ('정도', 'NNG'), ('는', 'JX'), ('약간', 'MAG'), ('해결', 'NNG'), ('이', 'JKC'), ('되', 'VV'), ('ᆫ', 'ETM'), ('것', 'NNB'), ('같', 'VA'), ('네요', 'EF'), ('.', 'SF')], [('뭐', 'NP'), ('이', 'VCP'), ('ᆫ가', 'EC'), ('길', 'VA'), ('게', 'EC'), ('쓰', 'VV'), ('어', 'EC'), ('내리', 'VV'), ('어', 'EC'), ('버리', 'VX'), ('기', 'ETN'), ('ᆫ', 'JX'), ('하', 'VX'), ('였', 'EP'), ('습니다', 'EC'), ('만', 'JX'), (',,,', 'SP'), ('영상', 'NNG'), ('잘', 'MAG'), ('보', 'VV'), ('았', 'EP'), ('습니다', 'EF'), ('.', 'SF')]]",@kage6_                         ,,0.0,Ugwh30lZIDMU2H7RRZ54AaABAg ,14,"근데 요즘 들 어 삼성 특히 갤럭시 쪽 은 gos 사건 도 있 었 고 하 여서 그렇 ᆫ지 애 정도 가 쫙 떨어지 어서 아이폰 가 아 보 고 싶 은데 같 은 아이폰 유저 이 라도 누구 는 넘어가 면 불편 하 ᆯ 거 이 다 하 면서 비추 하 는데 누구 는 통화녹음 이랑 삼성페이 안 쓰 면 넘어가 아도 별다르 ᆫ 불편 하 ᆫ 거 ᆫ 없 을 거 이 다 하 면서 추천 하 여 주 니 ,,, 그래서 찾아보 고 들어오 ᆫ 영상 이 이거 이 ᆫ데 , 뭐 ᆯ 선택 하 여야 하 ᆯ 지 정도 는 약간 해결 이 되 ᆫ 것 같 네요 .",0,0.6904023289680481
PF8jrZVfmVM ,평생 안드로이드만 쓴 진성 갤럭시 유저가 아이폰으로 갈아탈 수 있을까?                                   ,"저는 갤럭시쓰다 아이폰으로 넘어와서 계속 쓰던 도중 애플의 갑질 기사들, 그리고 보이스피싱 당할 뻔했는데 통화녹음이 없는 아이폰때문에 전 다시 갤럭시로 돌아가렵니다. s23으로~~~                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","저는갤럭시쓰다 아이폰으로넘어오아서계속쓰던도중애플의갑질기사들,그리고보이스피싱당할뻔하였는데통화녹음이없는아이폰때문에전다시갤럭시로돌아가려입니다. s23으로~~~","[[('저', 'NP'), ('는', 'JX'), ('갤럭시', 'NNP'), ('쓰', 'VA'), ('다', 'EF')], [('아이폰', 'NNP'), ('으로', 'JKB'), ('넘어오', 'VV'), ('아서', 'EC'), ('계속', 'MAG'), ('쓰', 'VV'), ('던', 'ETM'), ('도중', 'NNG'), ('애플', 'NNP'), ('의', 'JKG'), ('갑', 'NNG'), ('질', 'XSN'), ('기사', 'NNG'), ('들', 'XSN'), (',', 'SP'), ('그리고', 'MAJ'), ('보이스피싱', 'NNG'), ('당하', 'VV'), ('ᆯ', 'ETM'), ('뻔', 'NNB'), ('하', 'XSA'), ('였', 'EP'), ('는데', 'EC'), ('통화녹음', 'NNG'), ('이', 'JKS'), ('없', 'VA'), ('는', 'ETM'), ('아이폰', 'NNP'), ('때문', 'NNB'), ('에', 'JKB'), ('저', 'NP'), ('ᆫ', 'JX'), ('다시', 'MAG'), ('갤럭시', 'NNP'), ('로', 'JKB'), ('돌아가', 'VV'), ('려', 'EC'), ('이', 'VCP'), ('ᆸ니다', 'EF'), ('.', 'SF')], [('s', 'SL'), ('23', 'SN'), ('으로', 'JKB'), ('~~~', 'SO')]]",@haeni_log                      ,,1.0,UgzBCbINDFJd6idPikh4AaABAg ,14,"아이폰 으로 넘어오 아서 계속 쓰 던 도중 애플 의 갑 질 기사 들 , 그리고 보이스피싱 당하 ᆯ 뻔 하 였 는데 통화녹음 이 없 는 아이폰 때문 에 저 ᆫ 다시 갤럭시 로 돌아가 려 이 ᆸ니다 .",0,0.7526968717575073
