"video_id","title","comment_text","author","published_at","comment_like_count","reply_count","comment_id","reply_text","parent_id","series"
FMGscxZjmKU,iOS13 하루 사용기,냥,@junsai6155,"2019-06-07T10:04:43Z","0",0,UgwaqvCu3M3ronmG2K54AaABAg,"",UgwaqvCu3M3ronmG2K54AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,"1",@lookback_kr,"2019-06-07T10:04:47Z","0",0,Ugwg3EoOkuE85WUd-Q14AaABAg,"",Ugwg3EoOkuE85WUd-Q14AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,"1빠다!~",@qoworhks1,"2019-06-07T10:05:06Z","0",0,Ugxjs5gNV7OyxpFQk-h4AaABAg,"",Ugxjs5gNV7OyxpFQk-h4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,형 요즘 왜케 초췌해지는거야?,@gmb4191,"2019-06-07T10:05:09Z","0",1,Ugy-wkK03Vq7XCc717t4AaABAg,"",Ugy-wkK03Vq7XCc717t4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,돼박,@user-kk7wh1sb3q,"2019-06-07T10:05:24Z","0",0,UgzC_uYykm8fJxWg4kd4AaABAg,"",UgzC_uYykm8fJxWg4kd4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,"2등 ㅅㅅ 알람 뜨자마자 왔어요",@sanmaruvlog,"2019-06-07T10:05:31Z","0",0,UgyOo1KMCvLgkDTzI9x4AaABAg,"",UgyOo1KMCvLgkDTzI9x4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,다크모드 써보고싶은데 프로파일 언제나오는거야ㅑㅏㅏ,@Rodang2,"2019-06-07T10:05:33Z","0",1,UgyKub0aY-UYPKrAHM14AaABAg,"",UgyKub0aY-UYPKrAHM14AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,ㅎㅇㅎㅇ,@user-cn4yt2uy8q,"2019-06-07T10:05:34Z","0",0,Ugy3DTNaDvNEJWMwlPh4AaABAg,"",Ugy3DTNaDvNEJWMwlPh4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,와 바로왔는데 6등,@user-dx1gr7lz6i,"2019-06-07T10:05:41Z","3",0,UgzwIgZoqf91wyIEWJV4AaABAg,"",UgzwIgZoqf91wyIEWJV4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,"",@gmb4191,"2019-06-07T10:05:57Z","1",0,Ugy-wkK03Vq7XCc717t4AaABAg.8vsOsrfm_dW8vsOyhyRE9_,눈밑도 퀭하고...,Ugy-wkK03Vq7XCc717t4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,안녕하세요~ v{^0^}v,@k_stock,"2019-06-07T10:06:09Z","3",0,UgxTcLX0LL5sy6Z2IIl4AaABAg,"",UgxTcLX0LL5sy6Z2IIl4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,형 요즘 태크만하니까 어색해,@user-wo2wt9ij3e,"2019-06-07T10:06:24Z","0",0,UgxHUGo0tuNrVDF-Yh14AaABAg,"",UgxHUGo0tuNrVDF-Yh14AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,아이폰x도 ios 13업데이트되나여?,@dextermorgan9356,"2019-06-07T10:06:30Z","2",2,UgxVcCxIc8N1wOhRBzx4AaABAg,"",UgxVcCxIc8N1wOhRBzx4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,와우,@아이폰iOS,"2019-06-07T10:06:31Z","0",0,UgzoEzez49geJ74VW4V4AaABAg,"",UgzoEzez49geJ74VW4V4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,형 요즘 기빨리는데잇나봐 죄 피곤해보여 잘챙겨먹고댕겨❤,@JUNJUN_E,"2019-06-07T10:06:37Z","19",0,UgyNVfFr0PTE_P3HQYB4AaABAg,"",UgyNVfFr0PTE_P3HQYB4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,횽은 ipsw로 다운받은거여..? 나 지금 다운받고 있는데 4.5기가...ㅠ,@sultang8758,"2019-06-07T10:07:15Z","0",0,UgzPG0unu9bEDnNCLZp4AaABAg,"",UgzPG0unu9bEDnNCLZp4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,♦️테크유튜버인척 하는 영상입니다♦️,@bobae0690,"2019-06-07T10:07:30Z","125",11,UgyL0qectD1OldJ__-N4AaABAg,"",UgyL0qectD1OldJ__-N4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,비비상 잠깐 출연 카와이,@youngsangcho2776,"2019-06-07T10:07:45Z","0",0,Ugy7A6sixzT8xKiMPr94AaABAg,"",Ugy7A6sixzT8xKiMPr94AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,이거 어떻게 쓰는건가여,@user-ct1lh3zs2m,"2019-06-07T10:07:58Z","0",0,UgxHFjxTZGhSBuVd0Hp4AaABAg,"",UgxHFjxTZGhSBuVd0Hp4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,어머어머 테크유튜버 하시는거에요~?,@Junseoktellme,"2019-06-07T10:08:11Z","23",0,UgzOdK1lnS8o4Zo2ixh4AaABAg,"",UgzOdK1lnS8o4Zo2ixh4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,형... 요새 힘들어 보여,@user-kr9yt3ef1j,"2019-06-07T10:08:44Z","3",0,Ugx_pei318BMzs7vgXB4AaABAg,"",Ugx_pei318BMzs7vgXB4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,형 nfc해제 된다는 말이 있는데 그것도 리뷰해줘,@user-wr8zu4vs1r,"2019-06-07T10:09:13Z","2",0,Ugyvncxd1Cb4PnQGoMZ4AaABAg,"",Ugyvncxd1Cb4PnQGoMZ4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,유튜브에서 하루 사용기는 처음보자너 ㅎㅎㅎ,@cowtreestudio7929,"2019-06-07T10:09:22Z","18",0,Ugz8orV_190Mdlz1Pk54AaABAg,"",Ugz8orV_190Mdlz1Pk54AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,"벌써 ios가 13까지 나왔구나...
나는 아직 11에 멈춰있는데 ㅠㅠ
아 맞다 폰이 아이폰 7이지.....
또르르륵 ㅠ",@user-qh4qt6hl2p,"2019-06-07T10:09:32Z","2",4,Ugy0BUNcbWkFI5jwO3F4AaABAg,"",Ugy0BUNcbWkFI5jwO3F4AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,볼륨창 옆으로 옮긴거는 진짜 잘했네요 진작 좀 해주지,@lovethismnt,"2019-06-07T10:09:53Z","0",0,UgwpdFXCWi2yXIJofG54AaABAg,"",UgwpdFXCWi2yXIJofG54AaABAg,iOS13
FMGscxZjmKU,iOS13 하루 사용기,형들 다들 형형 하는데 이분보다 나이 많아도 형이라 해도 되나여,@jkh8439,"2019-06-07T10:10:24Z","0",1,UgxsgEEKmSBky1Ysuy94AaABAg,"",UgxsgEEKmSBky1Ysuy94AaABAg,iOS13
