series,channel,title,video_id,published_at
iOS13,JM,iOS13 하루 사용기,FMGscxZjmKU,2019-06-07T10:04:06Z
iOS13,JM,아이폰 11 에 들어갈 더욱 다듬어진 iOS13 꿀팁,qCsdUsn3M4k,2019-09-02T14:48:57Z
11,JM,빨리 빨리... 아이폰 11을 질러보았다,T1q3QoxcnQ4,2019-09-13T14:00:15Z
11,JM,아이폰 11 프로와 아이폰 11 언박싱 첫인상,K8hwKTNszgU,2019-09-20T03:45:18Z
11,JM,아이폰 11 프로 하루 사용기,nI4NB09oleU,2019-09-21T08:51:29Z
11,JM,아이폰 11 프로 일주일 사용기,Oi_UepD0WI8,2019-10-01T10:00:03Z
SE2,JM,이집 아이폰 SE 언박싱 잘하네,9cYXO3pup-Y,2020-04-24T11:50:42Z
12,JM,아이폰 12 pro로 기변했습니다,g7TE9C1K3gs,2020-10-27T12:52:09Z
13,JM,아이폰 13 Pro 개봉과 첫인상 in 뉴욕,PQHkZ6zAuJU,2021-09-24T22:13:18Z
14,JM,애플 아이폰 14 Pro 언박싱 & 첫인상,FYV4X4eQiJA,2022-09-16T11:18:06Z
14,JM,아이폰 14 프로 하루 사용기,5SXW7ec1M7A,2022-09-17T12:31:46Z
15,JM,저는 애플 아이폰 15 프로 맥스로 달립니다 (키노트 정리),F30-RJI-TSo,2023-09-13T00:22:46Z
15,JM,애플 아이폰 15 Pro / Pro Max 둘 다 사버림,3aXY4q7a5zY,2023-09-22T14:16:26Z
15,JM,애플 아이폰 15 프로 맥스 3일 사용후기,fFlHD1nCQqY,2023-09-25T10:00:54Z
15,JM,아이폰15 프로 발열 때문에 걱정된다구요?,rbVApAssNFg,2023-09-30T10:05:06Z
15,JM,아이폰 15 한국판을 사야하는 이유 (feat. 토스),f_jKVhtmEN8,2023-10-04T08:00:20Z
iOS18,JM,아이폰 iOS 18 써봤습니다,Vl0fGuHLqes,2024-06-11T13:52:31Z
11,JM,"애플 아이폰 11 Pro, 아이패드, 워치 5 발표",97ds1Ds1M9k,2019-09-10T23:11:24Z
