series,channel,title,video_id,published_at
iOS13,MR엠알,직접 써 본 iOS13 꿀기능 11가지! [숨겨진 기능 대방출!],AfXYQXeogwU,2019-06-10T11:42:03Z
11,MR엠알,앱등이도 모르는 아이폰 꿀팁 6가지! [꼭 써먹으세요 제발ㅠ],9ncUscO2BUo,2019-07-25T10:30:00Z
11,MR엠알,[ENG SUB] 갤럭시노트10 빠이?! [아이폰11 유출!/디자인/색상/카메라/출시일/가격 등등] (iPhone11 Leak!/Design/Release etc.),jYx7R94-wSs,2019-08-27T10:15:00Z
11,MR엠알,[ENG SUB] 아이폰11 출시!! 싸졌다고..?! [디자인/가격/색상/출시일 등 총정리!] (iPhone 11 Released!),WnYYUl1UrNs,2019-09-10T23:04:14Z
11,MR엠알,[ENG SUB] 이렇게나 차이난다고..?! [아이폰11/아이폰11 Pro 차이점 10가지 총정리] (iPhone 11 / iPhone 11 Pro 10 Differences),UZWrztbpc0s,2019-09-14T08:00:06Z
11,MR엠알,[ENG SUB] 미쳐버린 실물!! 아이폰11/아이폰11 Pro 언빡싱! [디자인/색상/가격/차이점 등],125itQnXQTw,2019-09-29T06:00:02Z
11,MR엠알,아이폰11/Pro/MAX 모든 제품을 Flex~! 해버렸지 뭐얌ㅋ [아이폰 모든 색상 리뷰!],pseaUu3uil0,2019-11-09T02:00:07Z
11,MR엠알,40만원대 샤오미 스마트폰이 카메라 원탑?! [아이폰11 Pro VS 갤럭시노트10 VS 샤오미CC9 Pro],xRkAiDP8qzI,2020-01-09T10:30:04Z
SE2,MR엠알,아이폰SE 판매자도 모른다?! [구매자는 필수로 알아야 할 꿀팁 대공개!],6s_O4jg7Kyc,2020-05-05T11:17:52Z
12,MR엠알,아이폰12 유출! [저렴한가격/새로운색상/각진디자인/120Hz/카메라/스펙/5G/출시일 등등!],k30dlzq7q-U,2020-05-15T10:30:13Z
iOS13.5,MR엠알,"스트레스야 잘가라! 아이폰, 마스크 착용하고 잠금해제 하는 아주 신박한 방법 3가지!",9aQ5fEbS7j4,2020-05-21T10:30:00Z
12,MR엠알,이제 한국도 1차 출시국?! 아이폰12 유출 총정리! [한국출시일/한국가격/각진디자인/120Hz/카메라/스펙/5G 등등!],6dcomvTRP9g,2020-10-11T06:00:08Z
12,MR엠알,[애플이벤트요약] 아이폰12 발표! [한국출시일/사전예약/가격/디자인/색상/미니 등],qGKkwuFu8Q4,2020-10-13T22:19:21Z
iOS14,MR엠알,아이폰12 사전구매 전 필수 시청! [iOS14 핵꿀팁 17가지 완벽정리!],vwiF1MXR4Bs,2020-10-15T09:00:10Z
12,MR엠알,그냥 이 색상이 1등입니다. [아이폰12프로 그래파이트 언박싱],MB9X0gESYkA,2020-10-30T07:58:16Z
12,MR엠알,용달블루라고 한 사람 나와! [아이폰12 용ㄷ..블루 언박싱!],PCBmA-A4EZ4,2020-10-31T03:38:35Z
12,MR엠알,"그냥 미니 사세요. 얘가 깡패네요. [싸고, 작고, 가볍고 빠른! 아이폰12 미니 화이트 언박싱!]",DLxoszp41XA,2020-11-20T06:12:45Z
12,MR엠알,예쁘긴 한데..너무 크고/너무 무겁고/너무 카툭튀가 심한! [아이폰12 프로 맥스 언박싱!],CYN8ovp55CA,2020-11-22T04:36:46Z
12,MR엠알,삼엽충인 내가 갤럭시S21 손절하고 아이폰으로 갈아 탄 이유 7가지. [근데..아쉬운 이유 여섯가지는 무엇?!],H5udKH2bzo0,2021-07-09T09:30:02Z
13,MR엠알,아이폰13 / 미니 / 프로 / 프로맥스 목업 입수! 충격적인 카메라와 작아진 노치! 디자인 차이점은?! [터치아이디 / 지문 인식 / 색상 등],2nnVGSzyMIE,2021-09-05T03:24:26Z
13,MR엠알,아이폰13 유출! [국내출시일/새로운색상/작아진노치/괴물카메라/120Hz/스펙/디스플레이/가격 등등!],m2zdVM5qt0M,2021-09-07T09:00:04Z
13,MR엠알,아이폰 13 프로 & 맥스 언박싱! 카메라는 징그러운데..왜 예쁘지?! [시에라블루 / 그래파이트],n9GoLUbXMus,2021-09-27T00:46:33Z
13,MR엠알,아이폰 13 & 미니 언박싱! 얘네 색감 미쳤네요;; 프로보다 나을지도?! [미드나이트 / 핑크],x9_XXOSN8G4,2021-09-27T14:30:52Z
13,MR엠알,아이폰13 구매 후 반드시 해야 하는 꺼야하는 설정 10가지 & 켜야하는 설정 10가지! [배터리 절약과 편리함은 덤!],6KaGv3mj1Oo,2021-10-08T09:15:00Z
13,MR엠알,아이폰13 시리즈 VS 아이폰12 시리즈 배터리 테스트! [의외의 반전과 13 미니는 사지 말라는 이유?],FBbX-kKx2wU,2021-10-09T12:41:00Z
13,MR엠알,한번 충전하고 이틀 사용? 드디어 완성작이라고 할 수 있는! [아이폰13 꼭 사야 하는 이유 6가지!],i5RiPir-ZS0,2021-11-20T09:58:19Z
13,MR엠알,아이폰 사상 최악의 카메라! 초점 킹받네; [아이폰13 시리즈 절대 사지 말아야 하는 이유 6가지],MRL3dYHUByQ,2021-11-27T10:30:02Z
최신,MR엠알,벌써 시제품까지 나왔다? 아이폰 플립 & 폴드 유출! [디자인/접는방식/특허/출시일/가격 등!],XQedff0wcLA,2021-12-09T09:15:03Z
14,MR엠알,아이폰13 사지마! 역대급 아이폰14 유출 총정리. [노치/카툭튀/디자인/신제품/가격/출시일 등],Ot9viia8zyI,2021-12-25T06:09:50Z
iOS15.4,MR엠알,미친..! 애플이 공식 배포한 마스크 쓰고 잠금 해제하는 iOS 15.4 Beta 설치 방법! [친형제 잠금해제? 선글라스 잠금해제? 마스크 색상별 실험 등등],aJWcWwW3g0E,2022-01-28T08:19:34Z
14,MR엠알,아이폰14 & 14프로 최종 디자인 확정! 애플이 정신 나갔다는 이유는?,wWZqMvHVvHQ,2022-03-19T04:43:39Z
14,MR엠알,아이폰14 전모델 실물 가져왔습니다.,KY_7fVg3_8Y,2022-09-03T01:00:09Z
14,MR엠알,아이폰14 선공개! [가격/디자인/색상/출시일],6gRYeu9GZO4,2022-09-04T01:30:02Z
14,MR엠알,아이폰14 발표! [한국가격/새로운색상/AOD/출시일/사전예약],RPT0o2ivMLI,2022-09-07T22:41:21Z
14,MR엠알,아이폰14 한국 출시일과 사전 예약 & 애플페이 출시 소식 까지. [사전 예약 싸게 하는 법?],c1QdaG68ywo,2022-09-17T01:22:16Z
14,MR엠알,이렇게 만들면 살 수 밖에 없잖아; 아이폰 14 프로 언박싱과 첫인상.,sX3t4PzBEjc,2022-09-17T15:34:12Z
14,MR엠알,진짜 애플은 실물깡패네요..아이폰14 언박싱 & 프로와 비교 리뷰.,juE1rmJvNtU,2022-09-18T23:58:13Z
iOS16,MR엠알,배워서 자랑하세요ㅋㅋ 아무도 모르는 iOS16 핵꿀팁! [움직이는 위젯 / D-day 설정 / 사진합성 / 심도효과 / 잠금화면 어플 실행 등],0xOFJwmHxbQ,2022-09-27T11:28:47Z
14,MR엠알,아이폰14프로 AOD 배터리 테스트! 이렇게나 차이날 줄은 몰랐네요. 그래도 켜고 사용하라는 이유는?,BQxx0JX0aG8,2022-10-02T10:40:48Z
14,MR엠알,아이폰만 14년 썼어요. 그냥 믿고 따라하세요. [아이폰14 초기설정 완벽정리],aLRyy86AGzc,2022-10-06T23:39:14Z
SE4,MR엠알,"스마트폰 사상 최고 성능, 67% 증가한 배터리, 커진 디스플레이에 70만원 대 가격? 모두 존버하세요 제발~! [아이폰 SE4 유출 영상]",L6PiTsvbIiw,2022-12-04T07:30:05Z
15,MR엠알,이건 선 넘었는데요..? '티타늄'과 '60배줌' 카메라를 넣고 가격까지 떡상시킨! 아이폰 15 울트라의 모든 것. [디자인/카메라/스펙/색상/가격/출시일 등],EfvHOEuTAVA,2023-01-31T09:30:04Z
14,MR엠알,아이폰14' 말고 '갤럭시S23'을 사야 하는 이유 19가지.,5EPuOsCOa4U,2023-02-06T12:11:30Z
15,MR엠알,아이폰15 출시 공식 발표! '티타늄'과 '새로운 색상'에 더해 '액션버튼'까지? 아이폰15의  [디자인/카메라/스펙/색상/가격/출시일 등],CEA6VS02-oc,2023-08-31T10:43:48Z
15,MR엠알,아이폰15 전모델 실물 가져왔습니다.,ecHNt5Aioms,2023-09-02T01:30:13Z
15,MR엠알,변색..이거 실화인가요? '아이폰15 프로' 내추럴 티타늄 언박싱!,7OHPjbV7WCo,2023-09-22T13:58:44Z
15,MR엠알,메인폰 이걸로 갈아탑니다. '아이폰15 프로맥스' 블루 티타늄 언박싱!,J1aVuf0yA4o,2023-09-22T16:08:26Z
15,MR엠알,좋은 말로 할 때 그냥 이거 사라! 아이폰15 '블루/그린/핑크' 언박싱!,_uniLcuQBrI,2023-09-22T16:43:00Z
15,MR엠알,아이폰15 발열 개선 업데이트! 발열과 같이 떨어진 성능...이거 실화인가요?! [구매 전 필수시청],QBHjN_KK2N8,2023-10-05T14:09:33Z
15,MR엠알,아이폰15 VS 아이폰14 시리즈 배터리 테스트! '의외의 반전'과 '프로맥스'가 별로라는 이유?,pvJCkqMndfc,2023-10-06T09:30:14Z
15,MR엠알,아이폰15 받자마자 ‘48시간’ 내에 꼭 해야 하는 ‘초기불량테스트’,xaG6TJ7aunk,2023-10-12T10:01:01Z
15,MR엠알,15년차 앱등이가 알려주는 '아이폰15 초기설정' 28가지,oqf06zAs2m8,2023-10-13T05:08:51Z
iOS17,MR엠알,애플도 이렇게 쓰는 건 몰라요. 'iOS17' 사용법 총 정리.,0H8L27TkanU,2023-10-14T03:42:15Z
16,MR엠알,미쳤다..; 벌써 유출된 ‘아이폰16’ 총정리! [더 커진 디스플레이와 늘어난 무게..그리고 캡처 버튼까지??],ODc0RjHFbtU,2023-10-18T12:05:58Z
16,MR엠알,미쳤다..; 전부 바뀐 '아이폰16' 변경점 13가지! [디자인 l 크기 l 색상 l 디스플레이 l 카메라 l 배터리 l 가격 l 출시일 등],nKPChtrGpN8,2024-07-06T10:47:17Z
11,MR엠알,아이폰11/아이폰11Pro/애플워치5 언빡싱,RZLECIV-6eY,2019-09-20T06:47:01Z
