series,channel,title,video_id,published_at
11,UNDERkg,인덕션? 발칸포? 아이폰 11 프로와 프로 맥스 개봉기 [4K],qTC8khx8MKw,2019-09-20T12:57:24Z
11,UNDERkg,애플 치고 저렴한 99만원?? 아이폰 11 개봉기 [4K],-fb44aulRvo,2019-09-21T08:34:54Z
11,UNDERkg,아이폰 11 예판 조건 완벽 정리와 색깔 비교!! [4K],P5HGcNZ5PZs,2019-10-18T11:12:08Z
11,UNDERkg,애플 아이폰 11 프로 & 11 프로 맥스 리뷰: 과하다. 근데 좋다. [4K],5KDalfoGL1A,2019-10-24T11:37:31Z
11,UNDERkg,아이폰 11 리뷰: 한국에서는 비추?? [4K],Wc4q0ist6zI,2019-12-19T11:55:33Z
SE2,UNDERkg,생태계 교란종 등장!! 아이폰 SE (2세대) 완전 정리 [4K],TSBYGTuZtk4,2020-04-15T23:00:11Z
SE2,UNDERkg,이 가격 이 성능에 이 베젤을?? 아이폰 SE (2세대) 개봉기 [4K],7r8mu3Ub0J4,2020-04-25T11:00:50Z
SE2,UNDERkg,아이폰 SE(2세대) vs. 아이폰 8 모든 색깔 비교!! [4K],7ISBRPjx6cM,2020-04-28T15:01:13Z
SE2,UNDERkg,아이폰 SE(2세대) 리뷰: 중급형 뒤집기 [4K],lEOVrRJsyh0,2020-05-13T11:21:18Z
iOS13.5,UNDERkg,코로나19 대응!! iOS 13.5 업데이트 프리뷰 [4K],bheAqFY8H0c,2020-05-21T13:17:10Z
iOS14,UNDERkg,아이폰 6s도 쓸 수 있다!! iOS 14 베타 신기능 10개 미리보기 [4K],IW4v-Yt2pTo,2020-06-24T13:16:51Z
12,UNDERkg,아이폰 미니 필름 크기 비교!! 애플 아이폰 12 이벤트 소문 정리 [4K],OaWNMb4r48o,2020-10-12T13:47:16Z
12,UNDERkg,아이폰 12 시리즈 & 홈팟 미니 완전 정리 [4K],D6PC9Ttz7Fg,2020-10-14T03:13:09Z
12,UNDERkg,깻잎통 부활!! 아이폰 12 & 12 프로 개봉기 [4K],dm_F1lHZNqs,2020-10-24T11:41:40Z
12,UNDERkg,아이폰 12 화면 불량 당첨됐습니다;; [4K],kBZOX5BYOSA,2020-10-26T13:42:41Z
12,UNDERkg,결정 마지막 순간!! 아이폰 12 & 12 프로 색깔 7가지 비교!! [4K],xZ0oKGluNas,2020-10-28T12:55:10Z
12,UNDERkg,이렇게 작고 크다니; 아이폰 12 미니 & 12 프로 맥스 개봉기 [4K],QDpzzjEIwuE,2020-11-14T02:49:47Z
12,UNDERkg,아이폰 12 미니 48시간 후기! 배터리 부족?? [4K],NKahirdlupw,2020-11-18T14:31:02Z
12,UNDERkg,아이폰 12 미니 터치 오류 수정됐어요!! [4K],AmIsSj4QA30,2020-11-20T09:38:13Z
12,UNDERkg,아이폰 12 & 12 미니 리뷰: 사세요. 사지 마세요. [4K],WeeYX1Mfvyk,2020-12-12T12:09:02Z
12,UNDERkg,아이폰 12 프로 & 12 프로 맥스 리뷰: 버틸 수 있다면 사세요 [4K],uIivvyikoWk,2021-01-26T13:31:05Z
iOS14.5,UNDERkg,마스크 끼고 아이폰 잠금 해제! iOS 14.5 베타 살펴보기 [4K],qtyYgDTnAO8,2021-02-03T12:43:21Z
iOS15,UNDERkg,아이폰 6s에 iOS 15 깔아보기(WWDC 요약 함유) [4K],0vWX0hB0QAI,2021-06-08T14:17:55Z
13,UNDERkg,노치가 친절하고 카메라가 맛있어요?? 아이폰 13 발표회 완벽 정리 [4K],Wsjf8OeZIdw,2021-09-16T01:24:45Z
13,UNDERkg,카메라 미쳤네📸아이폰 13 프로 개봉기 [4K],NrjzJRU9PjQ,2021-09-25T01:49:00Z
13,UNDERkg,색상? 크기? 카메라? 아이폰 13 전 기종 둘러보기 [4K],rSLmGjFh11k,2021-09-29T12:54:56Z
13,UNDERkg,묵직한 존재감🧱아이폰 13 프로 & 13 프로 맥스 리뷰 [4K],11iVwGRpTCU,2021-11-24T13:53:56Z
13,UNDERkg,아마... 마지막 기회...?? 아이폰 13 미니 & 13 리뷰 [4K],wGUPt_5Wugs,2021-12-08T11:06:54Z
iOS15.4,UNDERkg,신기능 융단폭격💣iOS/iPadOS/macOS 베타 둘러보기 [4K],ic-P_KzK6_g,2022-01-28T14:05:25Z
SE3,UNDERkg,하지만 빨랐죠. 아이폰 SE(3세대) 개봉기,AKSQyUGSdVo,2022-03-18T13:43:59Z
SE3,UNDERkg,그만 쫄여라.. 타것다... 아이폰 SE(3세대) 리뷰,wwCGOiAMW2g,2022-03-28T13:03:40Z
14,UNDERkg,전율이 있었다. 아이폰 14 프로와 워치 울트라까지 애플 9월 이벤트 정리.,6qqmU-Ne_Bc,2022-09-08T13:00:11Z
14,UNDERkg,"노치, 여기 묻히다. 아이폰 14 & 14 프로 개봉기",epDBmB3ktTg,2022-09-17T10:35:44Z
14,UNDERkg,(비교적) 싼데 큰 플러스 포함 정발된 아이폰 14 시리즈 전부 비교,paV-2-c8ha0,2022-10-08T12:03:57Z
14,UNDERkg,디테일이 미쳤다. 아이폰 14 프로 & 14 프로 맥스 리뷰,0loW7B4x0z8,2022-11-30T13:42:32Z
14,UNDERkg,큰 미끼와 더 큰 미끼. 아이폰 14 & 14 플러스 리뷰,0kom_6s-RA8,2022-12-16T12:03:12Z
iOS16,UNDERkg,정발 아이폰으로도 위성 SOS 되는지 셀프 조난 당해봤습니다,ebFzX18b9wo,2023-01-16T12:14:11Z
14,UNDERkg,왔노랑🌼보았노랑🌻안 예쁘노랑. 아이폰 14 옐로 뜯어봤습니다,bMt8kKUDkiw,2023-03-15T13:27:17Z
15,UNDERkg,잘 가라 라이트닝. 아이폰 15 발표회 총정리.,_tCQT-z_EtM,2023-09-13T12:51:30Z
15,UNDERkg,티타늄 1승 1패;; 아이폰 15 프로 & 프로 맥스 개봉기,rCqPL63APuc,2023-09-23T04:23:26Z
15,UNDERkg,그 지갑을 열지 마오👛아이폰 15 & 15 플러스 개봉기,wv4f4zY2Mm4,2023-09-27T12:35:22Z
15,UNDERkg,아이폰 15 시리즈 리뷰,XyK_7eR2Hhg,2024-04-25T10:43:38Z
