series,channel,title,video_id,published_at
SE2,주연 ZUYONI,50만원대 아이폰이라니! 3분만에 보는 아이폰SE 2세대의 모든 것🍎,gPi9le5_o5Y,2020-04-15T21:00:49Z
SE2,주연 ZUYONI,"아이폰SE2가 갓성비라는 말에 100% 동의하기 힘든 몇 가지 이유, 사기 전에 확인하세요! (ENG) | 주연ZUYONI",AufzZqzl8AA,2020-05-10T06:08:33Z
SE2,주연 ZUYONI,아이폰SE2 오이현상? 배터리? 궁금증 다 풀어드려요! | 주연ZUYONI,xoPpBbgBan0,2020-05-17T10:58:09Z
최신,주연 ZUYONI,"애플이 만드는 ""폴더블 아이폰"" 유출, 갤럭시 폴드와 완전 다르다?",P1Hc6eOSUwY,2020-06-17T09:57:41Z
iOS14,주연 ZUYONI,"인텔과 결별, 싹 바뀐 아이폰! 진정한 애플 생태계가 온다 [WWDC 2020 핵심 요약]",TCmwdeIXwio,2020-06-23T11:21:22Z
iOS14,주연 ZUYONI,iOS14 베타 함부로 설치하면 안되는 이유! 되돌리는 방법은?,kP8nIAEiT0U,2020-06-30T12:10:19Z
12,주연 ZUYONI,아이폰12 네 가지 공개🍎 미니부터 프로 맥스까지 8분 총정리!,XqMpVyjp2Gc,2020-10-14T05:30:34Z
12,주연 ZUYONI,아이폰12 사전예약 실패한 사람 다 들어와봐... 일단 나😭 (ft.10월 30일 배송),13Ya85SlR-Y,2020-10-23T02:54:34Z
12,주연 ZUYONI,아이폰12 아주 자세한 하루 사용기! 용달블루? 쌈무그린? iPhone12 Blue & Green (ENG),6qQHyCr90Ds,2020-10-31T02:07:36Z
12,주연 ZUYONI,아이폰12 굳이 프로 살 필요 없다? 주요 차이점 정리! 미니 기다리는 분들도 보세요✔️ (ENG sub),FyW2s-9-X-A,2020-11-04T01:52:48Z
12,주연 ZUYONI,"아이폰12, 12프로 새로운 화면 이슈 발견! 반딧불이 OLED? (ENG sub)",WzJn194x7yU,2020-11-07T12:43:26Z
12,주연 ZUYONI,아이폰12미니 & 프로맥스 실물크기와 그립감 완벽비교! (ft.실물크기 모형),XyC0-G11u_k,2020-11-13T15:39:00Z
12,주연 ZUYONI,아이폰12미니 사기 전 꼭 알아둬야 할 장단점 총정리😇 (SE 2세대와 비교) (ENG sub),PDpKHOZITJ8,2020-11-21T02:00:02Z
iOS14.2,주연 ZUYONI,아이폰 쓰면서도 모르는 '이 화면' 100% 활용하는 꿀팁 대방출 (ENG SUB),0Cuc6qKSLP4,2021-02-22T20:30:00Z
iOS14.5,주연 ZUYONI,아이폰 신기능 쓰기 전 반드시 주의하세요! iOS14.5 주요변화 & 주의사항,SxSBtPIW_3k,2021-04-29T03:16:45Z
13,주연 ZUYONI,노치 작아지고 존예 로즈골드 돌아온다? 아이폰13 유출정보 총정리!,IR_GfHJh64w,2021-09-09T03:16:14Z
iOS15,주연 ZUYONI,당장 아이폰 업데이트 하세요! 꼭 써봐야할 iOS15 핵심 꿀기능 총정리,KpmMSOzN2EA,2021-09-24T10:15:07Z
13,주연 ZUYONI,갈아탈만하냐고요? 아이폰13프로 시에라블루 꼼꼼 하루사용기! iPhone13 Pro Sierra Blue Unboxing,rFl61x3ns0Q,2021-10-01T11:36:59Z
SE3,주연 ZUYONI,써본 사람만 아는 아이폰SE 3세대 의외의 장단점! 찐 사용후기 들고왔어요🍎,nz_WHqpl6G0,2022-04-06T10:49:46Z
14,주연 ZUYONI,어처구니가 척척 걸어가는 가격? 아이폰14 현재까지 유출정보 총 정리!,3VO_hPulSTA,2022-09-03T05:18:27Z
14,주연 ZUYONI,여러모로 대단...하네요 (애플 아이폰14 시리즈 총정리),Za3OW0TjdQw,2022-09-08T11:23:53Z
14,주연 ZUYONI,아이폰14프로 갈아탈 만 하냐고요? 아이폰13프로와 꼼꼼 비교!,n_5IyU1GxLE,2022-09-22T03:12:56Z
14,주연 ZUYONI,아이폰14 프로 말고 일반은 어때요? 아이폰14 달라진 점 & 구매 가이드,bq5mV4tcVnI,2022-10-10T08:21:49Z
14,주연 ZUYONI,아이폰14 옐로우 언박싱! 지금 사도 되냐고요? (feat.아이폰15 예상정보),DkkdrpDBj24,2023-03-21T09:14:46Z
15,주연 ZUYONI,티타늄 아이폰 등장? 가격 또 오른다.. 아이폰15 시리즈 지금까지의 정보 총정리!,kaXOeIwSvMI,2023-07-13T09:45:55Z
15,주연 ZUYONI,"아이폰15 존버vs플립5, 폴드5로 갈아타기? 가격 또 오를까? 아이폰15, 15프로 유출정보 총정리",53VVv-l8MWY,2023-08-14T09:00:06Z
15,주연 ZUYONI,아이폰15시리즈 구매 고민? 미국에서 직접 보고 온 입장에서 속 시원히 털어드립니다ㅋㅋ,5OOv3H22zF4,2023-09-15T09:39:45Z
iOS17,주연 ZUYONI,에어팟프로2 떡상한다캤잖아~~ iOS17 에어팟 신기능 제대로 알고 써보자!,0OLKZjhrRXc,2023-09-23T09:39:23Z
15,주연 ZUYONI,아이폰15프로 언박싱! 티타늄 변색? 아이폰 C타입의 위력까지 직접 확인해봤습니다🤩 [제품제공],tCXp2ejsSHc,2023-09-25T08:43:50Z
15,주연 ZUYONI,"아이폰15프로 왜 이러죠.. 발열 1시간 테스트, 내구성, 배터리, 고스트현상 몽땅 확인!",oJ8nVp0JsDw,2023-09-26T13:01:33Z
