series,channel,title,video_id,published_at
iOS13,디에디트 THE EDIT,"앱등이 12년차의 아이폰 꿀팁,, 1초만에 10년전 사진 찾는 법?",QMOC1MRZij0,2024-03-07T11:12:26Z
15,디에디트 THE EDIT,"색감 때문에 아이폰 쓴다는 사람 나오세요;; 갤럭시S24 기본형, 울트라, 아이폰15 카메라 비교 리뷰",Ply3eDRZGmw,2024-01-26T11:37:00Z
15,디에디트 THE EDIT,아이폰15 프로 버리고 아이폰15 쓰는 이유,Uth06Ej0CSQ,2023-12-12T10:50:36Z
15,디에디트 THE EDIT,비싸도 아이폰 15 프로 맥스를 사는 이유,k6DfrHe1u64,2023-10-28T10:45:02Z
15,디에디트 THE EDIT,이 영상 보고 아이폰15 프로 환불했습니다… (아이폰15 & 아이폰15 프로 카메라 비교),tKUEH3t62R8,2023-10-17T11:12:06Z
15,디에디트 THE EDIT,"제가 앱등이로 보여요? 아이폰15, 아이폰15 프로 전모델 전컬러 언박싱 달립니다,,,(휴대폰 대리점 ASMR)",a0VdFV6CtSY,2023-10-11T01:00:02Z
15,디에디트 THE EDIT,카메라 때문에 아이폰15 프로 살 생각이면…,1UfVl3S6v0Q,2023-09-26T13:40:26Z
15,디에디트 THE EDIT,"아이폰에 USB-C 들어간 게 혁신임? ㅋㅋ (아이폰15에 5K 모니터, 외장 SSD 연결해봄)",QHqU4JUPipY,2023-09-24T10:52:10Z
iOS17,디에디트 THE EDIT,아이폰 왜 이렇게 좋아졌음??,FwpH43xuKbM,2023-09-22T14:27:35Z
15,디에디트 THE EDIT,애플 홈페이지 사진 믿지 마세요... 아이폰15 프로 & 아이폰15 전컬러 실물 색감,FCphIXYc8w4,2023-09-19T09:49:19Z
15,디에디트 THE EDIT,아이폰15는 가격이 혁신인데? 아이폰15 프로 & 애플워치9 &애플워치 울트라2 실물 리뷰,Z8v_JTADOiY,2023-09-13T10:27:31Z
iOS16,디에디트 THE EDIT,아이폰 vs 갤럭시 싸우는 게 의미없는 이유...,SSDoScgwb2c,2023-08-24T10:30:08Z
iOS16,디에디트 THE EDIT,"3가지 이상 알면 인정,, 아이폰 사진앱 개꿀팁 9가지!!! (원하는 사진 바로 찾는 법)",5W34KB5h97Y,2023-05-08T12:20:00Z
14,디에디트 THE EDIT,노랑색 아이폰 전부 비교해봄? 아이폰14 옐로 언박싱! 색감 레전드 ㅠㅠ,_odIheV5TOE,2023-03-14T10:43:52Z
14,디에디트 THE EDIT,"아직도 아이폰이 더 좋아보여? 갤럭시S23 카메라 리뷰… 레전드임 ㅠㅠ (갤럭시S22 울트라, 갤럭시S23,아이폰14 프로 비교)",gvCaVE10jZ0,2023-02-14T10:36:33Z
