series,channel,title,video_id,published_at
iOS18,ITSub잇섭,또 EU 협박에 아이폰 NFC 개방해버린 애플.. 근데 아직도 꼼수를?,mE6rRcUTVwQ,2024-08-21T11:00:49Z
iOS18.1,ITSub잇섭,애플식 ChatGPT와 공식 통화녹음 업데이트! iOS 18.1 Beta 미리 써봤습니다.,P-xxhhabkk0,2024-07-31T11:00:23Z
iOS18,ITSub잇섭,혼쭐나더니 혜자업데이트 개꿀이네요 ㅋㅋ 새로운 iOS 18 베타 핵심기능 12가지!,F42_8rxntCQ,2024-06-12T13:00:12Z
15,ITSub잇섭,갤럭시 S24 울트라 vs 아이폰15 프로맥스? 플래그십 자존심을 건 카메라 대결!,Xhk9NoWTXkA,2024-01-30T11:00:24Z
SE4,ITSub잇섭,이 가격에 이걸다 넣어준다구요? 보급형 아이폰 SE 4세대 출시 루머 총정리!,WCgBAUmeeAU,2023-11-24T11:00:21Z
15,ITSub잇섭,과연 아이폰15 프로로 별 사진 찍을 수 있을까?? 갤럭시 S23U와 비교해봄!,wd8QIHhvjT0,2023-10-27T11:00:58Z
iOS17,ITSub잇섭,애플에서 긴급 패치한 iOS 17.0.3 업데이트! 아이폰 15 프로 발열이 과연 개선됐을지 직접 테스트 해봤습니다.,rDmvs4iaaQw,2023-10-07T11:00:43Z
15,ITSub잇섭,역대급으로 말 많은 아이폰 15 프로 & 프로맥스 일주일 사용기! 사기 전에 미리 참고하세요.,PzkgfFgkH_Q,2023-10-05T11:00:15Z
15,ITSub잇섭,형보다 괜찮은 아우? 애플 아이폰 15 달라진 핵심기능 7가지!,GtWhC-ITUsI,2023-09-28T05:00:08Z
15,ITSub잇섭,새로 공개된 애플 아이폰 15&15 프로 총정리! 미국 현지에서 직접 경험한 느낌은?,IFcQUNCWl0s,2023-09-13T08:30:13Z
15,ITSub잇섭,애플 아이폰 15 출시까지 한 달? 지금까지 밝혀진 유력한 루머 총정리!,YEkoMJvRj6c,2023-08-17T11:30:12Z
iOS17,ITSub잇섭,등 뒤로 소름끼침;; 내 목소리를 그대로 카피하는 iOS 17 beta 숨겨진 기능 써봤습니다!,UvkC5Y8wztg,2023-07-20T11:00:24Z
iOS17,ITSub잇섭,애플이 숨겨놓은 기능까지 다찾음ㅋㅋ iOS 17에서 달라진 12가지 핵심 기능 총정리!,0RQ2Gr4EB18,2023-06-21T11:30:00Z
15,ITSub잇섭,아이폰 15에 USB-C를 탑재할 수 밖에 없는 이유? 하지만 애플의 인증 케이블 꼼수가...,r68su5nHiCA,2023-03-24T11:00:42Z
13,ITSub잇섭,골수 안드로이드파 PD님은 첫 아이폰을 구입하고 과연 만족했을까?,R1uMNYi_B9U,2022-11-29T11:30:08Z
14,ITSub잇섭,출시한지 한 달된 아이폰 14 프로 AOD에 벌써 번인이 생겼다?,5mgorCZzQWs,2022-11-24T12:00:04Z
iOS16.1,ITSub잇섭,어쩌면 에어드롭 2세대..? iOS 16.1 업데이트 핵심 기능 7가지!,eTY0wI9wcQw,2022-10-26T13:45:03Z
14,ITSub잇섭,아이폰14 일반/플러스 사면 호구 인증이다? 갈등하는 분들을 위한 아이폰14 선택 가이드,Qk77K6XQfYs,2022-10-24T11:45:01Z
14,ITSub잇섭,평생 안드로이드만 쓴 진성 갤럭시 유저가 아이폰으로 갈아탈 수 있을까?,PF8jrZVfmVM,2022-09-28T11:30:06Z
14,ITSub잇섭,5년만에 사라진 노치. 기다렸던 아이폰14 프로&프로 맥스 언빡싱과 첫 인상!,VOEmkMqcxwU,2022-09-19T14:15:02Z
iOS16,ITSub잇섭,이번 건 진짜 업데이트 할만합니다. AI 기능이 사기적으로 좋아진 iOS 16 Beta 1 달라진 13가지!,losX69nFmA4,2022-06-10T13:00:24Z
14,ITSub잇섭,라이트닝 없어짐? 노치 사라짐? 사이즈 바뀜? 알짜배기만 모은 애플 아이폰14 디자인&스펙 관련 루머 총정리!,-MQhpM8Chwo,2022-05-04T12:15:00Z
SE3,ITSub잇섭,프로세서 믿은 애플의 배짱장사? 여전히 아쉬움이 남는 보급형 iPhone SE 3세대 언빡싱&달라진점!,-pH6UMOlZH0,2022-03-26T12:15:00Z
